date,product,category,price,quantity,revenue
2022-01-18,Coat,Clothing,100,8,800
2022-01-19,Speaker,Electronics,80,20,1600
2022-01-20,Backpack,Bags,50,15,750
2022-01-21,T-Shirt,Clothing,20,40,800
2022-01-22,Smartphone,Electronics,600,7,4200
2022-01-23,Tablet,Electronics,400,3,1200
2022-01-24,Hoodie,Clothing,40,15,600
2022-01-25,Smartwatch,Accessories,200,8,1600
2022-01-26,Sneakers,Shoes,80,12,960
2022-01-27,Coat,Clothing,100,5,500
2022-01-28,Speaker,Electronics,80,8,640
2022-01-29,T-Shirt,Clothing,20,30,600
2022-01-30,Smartphone,Electronics,600,9,5400
2022-01-31,Jeans,Clothing,50,15,750
2022-02-01,T-Shirt,Clothing,20,35,700
2022-02-02,Smartphone,Electronics,600,10,6000
2022-02-03,Headphones,Electronics,100,25,2500
2022-02-04,Coat,Clothing,100,12,1200
2022-02-05,Watch,Accessories,150,8,1200
2022-02-06,Smartphone,Electronics,600,7,4200
2022-02-07,Speaker,Electronics,80,18,1440
2022-02-08,Backpack,Bags,50,25,1250
2022-02-09,Smartwatch,Accessories,200,6,1200
2022-02-10,Jeans,Clothing,50,10,500
2022-02-11,T-Shirt,Clothing,20,20,400
2022-02-12,Smartphone,Electronics,600,12,7200
2022-02-13,Sneakers,Shoes,80,8,640
2022-02-14,Wallet,Accessories,30,30,900